"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT14","WT16","WT17","WT18"
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-29",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-04-30",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-01",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-02",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-03",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-04",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-05",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-06",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-07",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-08",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-09",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-10",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-11",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-12",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-13",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-14",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-15",,,,,,,,,,,,,,,
