"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-18",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-19",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-20",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-21",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-22",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-23",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-24",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-25",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-26",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-27",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-28",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-29",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-09-30",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-01",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-02",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-03",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-04",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-05",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-06",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-07",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-08",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-09",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-10",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-11",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-12",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-13",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-14",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-15",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-16",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-17",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-18",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-19",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-20",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-21",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-22",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-23",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-24",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-25",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-26",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-27",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-28",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-29",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-30",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-10-31",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-01",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-02",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-03",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-04",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-05",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-06",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-07",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-08",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-09",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-10",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-11",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-12",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-13",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-14",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-15",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-16",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-17",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-18",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-19",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-20",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-21",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-22",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-23",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-24",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-25",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-26",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-27",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-28",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-29",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-11-30",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-01",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-02",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-03",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-04",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-05",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-06",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-07",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-08",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-09",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-10",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-11",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-12",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-13",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-14",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-15",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-16",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-17",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-18",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-19",,,,,,,,,,,,,
"USR0000NRER","RED ROCK NEVADA, NV US","36.1353","-115.4272","1146.0","1990-12-20",,,,,,,,,,,,,
