word,frequency,rank
use,63,1466
morphing,63,1467
orbiting,63,1468
darkness,62,1469
strip,62,1470
discshaped,62,1471
happen,62,1472
alot,62,1473
peak,62,1474
wooded,62,1475
eastbound,62,1476
semi,62,1477
opened,62,1478
puget,62,1479
pinkish,62,1480
greenblue,62,1481
vancouver,62,1482
member,61,1483
diskshaped,61,1484
search,61,1485
redgreen,61,1486
explanation,61,1487
kinda,61,1488
westbound,61,1489
must,61,1490
dime,61,1491
beside,61,1492
used,61,1493
gigantic,61,1494
northeastern,61,1495
tumbling,61,1496
span,61,1497
descend,61,1498
cometlike,61,1499
jan,61,1500
heavy,60,1501
pure,60,1502
reflected,60,1503
vermont,60,1504
keep,60,1505
minneapolis,60,1506
massachusetts,60,1507
controlled,60,1508
strong,60,1509
accelerating,60,1510
zipping,60,1511
highaltitude,60,1512
beyond,59,1513
cube,59,1514
pick,59,1515
army,59,1516
electric,59,1517
return,59,1518
reporting,59,1519
dissapear,59,1520
name,59,1521
creature,59,1522
remain,59,1523
showing,59,1524
tuesday,59,1525
illumination,59,1526
worth,59,1527
bubble,59,1528
kite,59,1529
lites,59,1530
pulling,59,1531
array,59,1532
experienced,58,1533
baltimore,58,1534
constantly,58,1535
ri,58,1536
jackson,58,1537
background,58,1538
crashing,58,1539
albany,58,1540
held,58,1541
strait,58,1542
twenty,58,1543
outlined,58,1544
stadium,58,1545
dawn,58,1546
multicolor,58,1547
silence,58,1548
glanced,58,1549
northwestern,58,1550
succession,58,1551
hand,57,1552
detroit,57,1553
twin,57,1554
whiteyellow,57,1555
hollywood,57,1556
reason,57,1557
nashville,57,1558
frame,57,1559
hospital,57,1560
stationery,57,1561
clock,57,1562
orangeish,57,1563
ut,57,1564
garage,56,1565
deer,56,1566
exploded,56,1567
tandem,56,1568
nighttime,56,1569
loop,56,1570
monday,56,1571
satelite,56,1572
reentry,56,1573
reentering,56,1574
pulsed,56,1575
wierd,56,1576
recording,56,1577
lived,55,1578
lying,55,1579
baseball,55,1580
post,55,1581
connecticut,55,1582
rest,55,1583
nuclear,55,1584
buzzing,55,1585
trash,55,1586
fe,55,1587
barking,55,1588
noted,55,1589
fiance,55,1590
fresno,55,1591
westerly,55,1592
simultaneously,55,1593
barely,55,1594
burbank,55,1595
general,54,1596
defined,54,1597
hum,54,1598
performing,54,1599
queen,54,1600
noon,54,1601
prior,54,1602
mind,54,1603
di,54,1604
church,54,1605
confirmed,54,1606
metro,54,1607
zigzagged,54,1608
simply,54,1609
nose,54,1610
usually,54,1611
believed,54,1612
usual,54,1613
direct,54,1614
girl,53,1615
catch,53,1616
marking,53,1617
spaceship,53,1618
control,53,1619
aligned,53,1620
beacon,53,1621
vessel,53,1622
diamondshaped,53,1623
lincoln,53,1624
unmoving,53,1625
tape,53,1626
saint,53,1627
abducted,52,1628
abrupt,52,1629
happening,52,1630
feeling,52,1631
property,52,1632
phenomenon,52,1633
configuration,52,1634
trace,52,1635
present,52,1636
hung,52,1637
dream,52,1638
scottsdale,52,1639
wyoming,52,1640
burn,51,1641
certain,51,1642
upstate,51,1643
young,51,1644
outage,51,1645
cruise,51,1646
paso,51,1647
former,51,1648
enjoying,51,1649
begin,51,1650
orangereddish,51,1651
lax,51,1652
consistent,51,1653
computer,51,1654
hue,51,1655
arrived,51,1656
dims,51,1657
vandenberg,51,1658
glance,51,1659
tac,51,1660
tic,51,1661
independently,50,1662
warm,50,1663
richmond,50,1664
awoke,50,1665
describe,50,1666
anomaly,50,1667
portal,50,1668
sit,50,1669
ski,50,1670
mirror,50,1671
sleeping,50,1672
tulsa,50,1673
cause,50,1674
eagle,50,1675
bizarre,50,1676
bluishwhite,50,1677
yellowwhite,50,1678
omaha,50,1679
whiteblue,50,1680
flashlight,49,1681
lane,49,1682
tracking,49,1683
fluorescent,49,1684
appx,49,1685
nebraska,49,1686
louisville,49,1687
thinking,49,1688
step,49,1689
scanning,49,1690
vacation,49,1691
